Judul,Sub Judul,No. ISBN,Penulis,Jumlah Halaman,Berat Buku,Jenis Cover,Isi,Dimensi (L x P),Harga,Deskripsi,URL,Thumbnail URL
Cerita Bergambar Perjanjian Lama 2,-,979-9143-91-8,A. Susilaradeya dan D. Susilaradeya,36 halaman,100 gram,soft cover,HVS 80,21x28 cm, Rp. 24.000,Buku mewarnai yang dirangkai dengan kisah singkat peristiwa dalam Alkitab. Perjanjian Lama jilid 2 berisi 16 kisah dari Gideon hingga Nehemia. Gambarnya sederhana. Pas untuk kegiatan Sekolah Minggu.,http://www.penerbitbinakasih.com/165-buku-cerita-bergambar-perjanjian-lama-2.html,http://www.penerbitbinakasih.com/images/products/product_165.jpg
Mari Mengenal Tuhan Yesus,-,978-602-8009-70-6,H.A. Oppusunggu,36 halaman,100 gram,soft cover,HVS 80,21x28 cm, Rp. 24.000,Buku mewarnai yang dirangkai dengan kisah singkat peristiwa dalam Alkitab. Mari Mengenal Tuhan Yesus terdiri dari 16 kisah kehidupan-Nya. Banyak Guru Sekolah Minggu memakai buku ini.,http://www.penerbitbinakasih.com/166-buku-mari-mengenal-tuhan-yesus.html,http://www.penerbitbinakasih.com/images/products/product_166.jpg
Mari Mengikut Tuhan Yesus,-,978-979-9143-52-5,H.A. Oppusunggu,36 halaman,100 gram,soft cover,HVS 80,21x28 cm, Rp. 22.000,Buku mewarnai yang dirangkai dengan kisah singkat peristiwa dalam Alkitab. Mari Mengikut Tuhan Yesus mengisahkan 16 peristiswa dalam kehidupan Tuhan Yesus. Berbagai gereja menggunakannya untuk membimbing anak Sekolah Minggu.,http://www.penerbitbinakasih.com/167-buku-mari-mengikut-tuhan-yesus-.html,http://www.penerbitbinakasih.com/images/products/product_167.jpg
Firman Diberitakan Terus,-,978-979-9143-92-1,H.A. Oppusunggu,36 halaman,100 gram,soft cover,HVS 80,21x28 cm, Rp. 24.000,Buku mewarnai yang dirangkai dengan kisah singkat peristiwa dalam Alkitab. 16 kisah pasca Pentakosta yang baik untuk digunakan dalam kegiatan Sekolah Minggu.,http://www.penerbitbinakasih.com/168-buku-firman-diberitakan-terus-.html,http://www.penerbitbinakasih.com/images/products/product_168.jpg
Petani yang Kaya,The Rich Farmer,978-602-1006-20-7,Nick Butterworth,24 halaman,50 gram,soft cover,HVS 100,17x15 cm, Rp. 24.000,,http://www.penerbitbinakasih.com/281-buku-petani-yang-kaya.html,http://www.penerbitbinakasih.com/images/products/product_281.jpg
Sepuluh Uang Perak,,978-602-1006-25-2,Nick Butterworth,24 halaman,50 gram,soft cover,HVS 100,17x15 cm, Rp. 24.000,,http://www.penerbitbinakasih.com/282-buku-sepuluh-uang-perak.html,http://www.penerbitbinakasih.com/images/products/product_282.jpg
Mutiara yang Berharga,,978-602-1006-24-5,Nick Butterworth,24 halaman,50 gram,soft cover,HVS 100,17x15 cm, Rp. 24.000,"Cerita Tuhan Yesus: Mutiara yang Berharga.
Seri yang terdiri dari 8 judul ini dirancang untuk anak kecil,
lengkap dengan gambar, disajikan dengan bahasa yang sederhana dan lucu,
namun alkitabiah.",http://www.penerbitbinakasih.com/283-buku-mutiara-yang-berharga.html,http://www.penerbitbinakasih.com/images/products/product_283.jpg
Domba yang hilang,The Lost Sheep,9786021006191,Nick Butterworth,24 halaman,50 gram,soft cover,HVS 100,17x15 cm, Rp. 24.000,"Cerita Tuhan Yesus: Domba yang Hilang.
Seri yang terdiri dari 8 judul ini dirancang untuk anak kecil,
lengkap dengan gambar, disajikan dengan bahasa yang sederhana dan lucu,
namun alkitabiah.",http://www.penerbitbinakasih.com/284-buku-domba-yang-hilang.html,http://www.penerbitbinakasih.com/images/products/product_284.jpg
Dua Anak Laki-laki,,9786021006184,Nick Butterworth,24 halaman,50 gram,soft cover,HVS 100,17x15 cm, Rp. 24.000,,http://www.penerbitbinakasih.com/285-buku-dua-anak-laki-laki.html,http://www.penerbitbinakasih.com/images/products/product_285.jpg
Orang Asing yang Murah Hati,The Good Stranger,9786021006238,Nick Butterworth,24 halaman,50 gram,soft cover,HVS 100,17x15 cm, Rp. 24.000,"Cerita Tuhan Yesus: Orang Asing yang Murah Hati.
Seri yang terdiri dari 8 judul ini dirancang untuk anak kecil,
lengkap dengan gambar, disajikan dengan bahasa yang sederhana dan lucu,
namun alkitabiah.",http://www.penerbitbinakasih.com/286-buku-orang-asing-yang-murah-hati.html,http://www.penerbitbinakasih.com/images/products/product_286.jpg
Rumah di Atas Batu,The House on The Rock,9786021006221,Nick Butterworth,24 halaman,50 gram,soft cover,HVS 100,17x15 cm, Rp. 24.000,,http://www.penerbitbinakasih.com/287-buku-rumah-di-atas-batu.html,http://www.penerbitbinakasih.com/images/products/product_287.jpg
Pintu Masuk yang Kecil,The Little Gate,978-602-1006-21-4,Nick Butterworth,24 halaman,50 gram,soft cover,HVS 100,17x15 cm, Rp. 24.000,,http://www.penerbitbinakasih.com/288-buku-pintu-masuk-yang-kecil.html,http://www.penerbitbinakasih.com/images/products/product_288.jpg
Mustahil? Mari Berdoa,Pohon raksasa itu mustahil dipindahkan,979-8976-89-4,Sheila Miller,28 halaman,50 gram,soft cover,HVS 80,21x14 cm, Rp. 16.000,"Ian naik jip menuruni bukit. Tapi pohon raksasa tumbang. Melintang menutupi jalan. Ian terpaksa berhenti. Bingung! Putus asa!
Tapi seorang anak muda menyuruh Ian berdoa. Memohon supaya Tuhan memindahkan pohon raksasa itu.
Usul sederhana. Sangat mudah dilakukan. Tapi  apa itu mungkin? Apa Tuhan akan memindahkan pohon raksasa itu?
Caranya? Itulah hal penting dan sangat menarik, yang dapat kita nikmati bila membaca buku ini!",http://www.penerbitbinakasih.com/175-buku-mustahil%3F-mari-berdoa-.html,http://www.penerbitbinakasih.com/images/products/product_175.jpg
Tangan yang Terluka,STOCK KOSONG,979-9143-41-1,Anonim,16 halaman,80 gram,soft cover,HVS 80,"21x14,5 cm", Rp. 0,"Dani yatim piatu. Sebatang kara. Ia terjebak dalam amukan api. Untung seorang bapak rela berkorban menyelamatkan Dani.
Bapak itu ingin mengangkat Dani menjadi anaknya. Tapi bapak itu sama sekali tidak peduli pada Tuhan. Tidak peduli pada gereja, dan tidak peduli pada agama.
Apakah Dani mau menjadi anak angkat bapak itu? Jawaban atas pertanyaan ini akan membuat kita terharu. Dan mengerti arti mengasihi.",http://www.penerbitbinakasih.com/177-buku-tangan-yang-terluka-.html,http://www.penerbitbinakasih.com/images/products/product_177.jpg
Anjing Yang Cemburu,STOCK KOSONG,978-602-8009-12-6,Neta Jackson,24 halaman,60 gram,soft cover,Matt paper 80,"18,5x17,5 cm", Rp. 0,"Pepper senang berlomba lari dengan Wolfie, sahabatnya. Setiap hari mereka berlomba lari bolak-balik di sepanjang sisi pagar kawat, yang memisahkan halaman belakang rumah mereka. Pepper selalu menang dan biasanya Wolfie sudah tergeletak kecapekan sebelum menyelesaikan lomba dan memilih berjemur di rumput. Keduanya menikmati persahabatan mereka. Suatu hari Pepper tidak mau keluar rumah untuk berlomba, meskipun Wolfie berkali-kali memanggilnya keluar.  Apa yang terjadi?
Gunakanlah buku cerita bergambar ini untuk membangun anak Anda bersikap positif, yaitu tidak cemburu atau iri hati. Anda dapat berdiskusi dengan anak Anda tentang sikap cemburu atau iri hati yang membuat hati susah dan sulit berteman.",http://www.penerbitbinakasih.com/178-buku-anjing-yang-cemburu-.html,http://www.penerbitbinakasih.com/images/products/product_178.jpg
Ferret Si Pengacau,tentang kejujuran,979-9143-72-1,Neta Jackson,24 halaman,60 gram,soft cover,Matt paper 80,"18,5x17,5 cm", Rp. 20.000,"Iggy – seekor ferret, mendapat teman baru, Puppy, seekor anak anjing gemuk dan berbulu lembut.  Iggy dan Puppy senang bermain bersama.  Suatu hari Puppy dikurung di dalam kandang oleh Nona, pemilik mereka.  Nona menyangka Puppy yang merobek gorden dan membuat ruang tamu berantakan.  Padahal Iggy yang melakukan semua itu.  Apakah Iggy diam saja melihat sahabatnya dihukum, menanggung   kesalahan yang ia lakukan?
 
Gunakanlah buku cerita bergambar ini sebagai alat mengajar anak Anda, ketika Anda:
·         Membacakan cerita-cerita yang menyenangkan tentang binatang yang sudah dikenal.
·         Mendiskusikan pertanyaan-pertanyaan yang terdapat pada setiap cerita.
·         Bersama-sama membicarakan bagaimana cara kita menolong orang lain yang dihukum karena kesalahan kita.",http://www.penerbitbinakasih.com/180-buku-ferret-si-pengacau-.html,http://www.penerbitbinakasih.com/images/products/product_180.jpg
Hamster Kena Batunya,tentang kebersamaan,979-9143-74-8,Neta Jackson,24 halaman,60 gram,soft cover,Matt paper 80,"18,5x17,5 cm", Rp. 20.000,"Marbel hamster selalu bersikap kasar kepada adik-adiknya.  Karena paling besar ia suka memaksakan kehendaknya dan tidak peduli dengan perasaan adik-adiknya.  Suatu hari Marbel kena batunya sehingga ia tergeletak sakit dan tidak bisa bermain.  Marbel sedih, kesepian dan haus.  Tiba-tiba Willie, adiknya, datang membawa air segar.  Padahal Willie paling sering dipermainkan oleh Marbel.  Setelah sembuh, apakah sikap Marbel terhadap Willie dan adik-adiknya yang lain berubah
Gunakanlah buku cerita bergambar ini sebagai alat mengajar anak Anda, ketika Anda:
·         Membacakan cerita-cerita yang menyenangkan tentang binatang yang sudah dikenal.
·         Mendiskusikan pertanyaan-pertanyaan yang terdapat pada setiap cerita.
·         Bersama-sama membicarakan apa yang akan terjadi bila kita serakah dan tidak mau berbagi dengan orang lain.",http://www.penerbitbinakasih.com/181-buku-hamster-kena-batunya-.html,http://www.penerbitbinakasih.com/images/products/product_181.jpg
Kelinci Menendang Pintu,tentang pengampunan,979-9143-75-6,Neta Jackson,24 halaman,60 gram,soft cover,Matt paper 80,"18,5x17,5 cm", Rp. 20.000,"Kicker kelinci sering menendang pintu kandangnya.  Ia bosan di kandang, ingin bermain di pekarangan. Buk buk buk!  Ketika pintu kandang berhasil dibuka, Kicker meloncat keluar dan bermain sepuasnya. Tapi di kandang, bahaya mengancam Timbi, teman Kicker. Bisakah Kicker menolong Timbi lepas dari bahaya? Apakah Kicker mengakui kesalahannya?  Apakah Timbi mau memaafkan Kicker?
Gunakanlah buku cerita bergambar ini sebagai alat mengajar anak Anda, ketika Anda:
·         Membacakan cerita-cerita yang menyenangkan tentang binatang yang sudah dikenal.
·         Mendiskusikan pertanyaan-pertanyaan yang terdapat pada setiap cerita.
·         Bersama-sama membicarakan perlunya meminta maaf ketika kita bersalah, dan memaafkan orang yang bersalah kepada kita.",http://www.penerbitbinakasih.com/182-buku-kelinci-menendang-pintu-.html,http://www.penerbitbinakasih.com/images/products/product_182.jpg
Kucing Berbau Kubis,tentang prasangka,979-9143-43-8,Neta Jackson,24 halaman,60 gram,soft cover,Matt paper 80,"18,5x17,5 cm", Rp. 20.000,"Kucing Siam berprasangka. Dia merasa dirinya lebih baik dari semua kucing lainnya, khususnya Kucing Liar. Temannya, Kucing Hitam, terpengaruh oleh gosipnya, sehingga Kucing Hitam menjadi tidak suka dengan Kucing Liar yang selalu berkeliaran mencari makan. Tapi sesuatu terjadi pada Kucing Hitam, yang mengubah sikapnya terhadap Kucing Liar.
Gunakanlah buku cerita bergambar ini sebagai alat mengajar anak Anda, ketika Anda:
·         Membacakan cerita-cerita yang menyenangkan tentang binatang yang sudah dikenal.
·         Mendiskusikan pertanyaan-pertanyaan yang terdapat pada setiap cerita.
·         Bersama-sama membicarakan bagaimana menghindari gossip dan menerima orang lain yang berbeda dengan kita.",http://www.penerbitbinakasih.com/183-buku-kucing-berbau-kubis-.html,http://www.penerbitbinakasih.com/images/products/product_183.jpg
Nuri Si Burung Cerewet,STOCK KOSONG, 979-9143-44-6,Neta Jackson,24 halaman,60 gram,soft cover,Matt paper 80,"18,5x17,5 cm", Rp. 16.000,"Nuri—si burung cerewet, tinggal di sebuah toko yang menjual binatang peliharaan. Ia selalu berterus-terang mengatakan hal yang sebenarnya. Tapi apa yang ia katakan sering membuat binatang-binatang lain sakit hati. Suatu hari suatu peristiwa menimpa Nuri, yang membuat ia sangat sedih.
Gunakanlah buku cerita bergambar ini sebagai alat mengajar anak Anda, ketika Anda:
·         Membacakan cerita-cerita yang menyenangkan tentang binatang yang sudah dikenal.
·         Mendiskusikan pertanyaan-pertanyaan yang terdapat pada setiap cerita.
·         Bersama-sama membicarakan bagaimana kita harus bijaksana dan membesarkan hati orang lain ketika kita mengatakan hal yang sebenarnya.",http://www.penerbitbinakasih.com/185-buku-nuri-si-burung-cerewet-.html,http://www.penerbitbinakasih.com/images/products/product_185.jpg
Coki Bisa Apa?,-,979-9143-30-6,Yunita D. Harahap,24 halaman,50 gram,soft cover,HVS 80,"14,5x21 cm", Rp. 20.000,"Coki si anak burung Merpati sedih.Ia tidak bisa bernyanyi seperti Kunyil Kutilang,tidak bisa terbang bergaya seperti Tedi Tekukur.
Coki pun pergi menemui Prof. Burhan.Hanya Prof. Burhan yang tahu rahasia kepandaian Coki.
Tapi, aduh! Setiba di rumah Prof. Burhan,Coki malah diberi tugas penting lagi mendesak ke tempat berbahaya! 
Apa yang akan dilakukan Coki?Apakah ia akan menemukan rahasia kepandaiannya?
Dengan membaca cerita ini kita akanmenemukan jawabannya dan lega.",http://www.penerbitbinakasih.com/187-buku-coki-bisa-apa%3F.html,http://www.penerbitbinakasih.com/images/products/product_187.jpg
Coki Periksa Lagi!,-,978-602-8009-49-2,Yunita D. Harahap,24 halaman,50 gram,soft cover,HVS 80,"14,5x21 cm", Rp. 20.000,"”Celaka, surat untuk Prof. Burhan hilang!” seru Coki kebingungan.
Coki, si anak burung merpati mendapat tugas mengantarkan surat kepada Prof. Burhan.                        
Coki menyanggupinya dengan penuh percaya diri.
Di tengah jalan Coki bertemu kedua temannya, Kunyil Kutilang dan Tedi Tekukur, yang mengajaknya bermain ke Lembah Permai.
Setelah menikmati biji-bijian segar, Coki tersadar bahwa surat tersebut telah lenyap.
Bagaimana surat itu bisa hilang?
Apakah Coki berhasil menemukannya?
Dengan membaca buku ini, kita akan menemukan jawabannya sekaligus mendapat pelajaran berharga.",http://www.penerbitbinakasih.com/188-buku-coki-periksa-lagi%21-.html,http://www.penerbitbinakasih.com/images/products/product_188.jpg
Apa Sajakah Janji Yesus Bagimu? (bilingual),STOCK KOSONG,978-602-8009-53-9,Helen Haidle,36 halaman,250 gram,hard cover,Matt paper,"20,5x20,5 cm", Rp. 0,"Yesus membuat banyak janji. Dia selalu melakukan dan menepati semua janji-Nya.
Yesus sangat mengasihimu. Dia mati disalib untuk menebusmu dari belenggu dosa—lalu Dia bangkit dan hidup kembali! Karena kasih-Nya, Dia berjanji untuk aku dan kamu—berjanji memberkatimu bila kamu berdamai dengan orang lain, mengampunimu bila kamu mengampuni orang lain, memberimu damai ketika kamu sedih, memeliharamu, dan menjawab doa-doamu.
Yesus berjanji memberimu upah ketika kamu memberi, bahkan ketika kamu memberi segelas air untuk anak kecil. Percayalah akan janji Yesus yang menyediakan rumah di surga bagimu, Dia akan datang kembali sebagai Raja segala raja.
Kenalilah janji-janji Yesus. Percayalah, Dia akan menepati semua janji-Nya. Terutama, Dia berjanji akan menemanimu selalu... karena Dia mengasihimu.",http://www.penerbitbinakasih.com/189-buku-apa-sajakah-janji-yesus-bagimu%3F-%28bilingual%29.html,http://www.penerbitbinakasih.com/images/products/product_189.jpg
Ayo Temukan Janji-janji Allah Bagimu!,-,978-602-8009-56-0,Helen Haidle,220 halaman, gram,soft cover,HVS 70,"14,5x21 cm", Rp. 50.000,"ALLAH TIDAK PERNAH BOHONG! 
Janji-janji-Nya dalam Alkitab bisa dipercaya, dulu-sekarang, dari yang mahapenting maupun yang paling sederhana.Beberapa janji-Nya benar-benar pas buatmu-siapa tahu itulah yang kamu cari selama ini....
Ayo temukan janji-janji Allah bagimu sekarang! Ada 17 janji paling penting dalam buku ini. Kamu tak akan rugi memegang janji itu sejak kecil. Helen Haidle menyimpannya bagai harta karun-dalam kisah tokoh-tokoh Alkitab dan kisah seru teman-temanmu.
Jadi, selamat berpetualang!",http://www.penerbitbinakasih.com/190-buku-ayo-temukan-janji-janji-allah-bagimu%21-.html,http://www.penerbitbinakasih.com/images/products/product_190.jpg
Buku Doa Anak,-,979-9143-46-2,C.H. Tangvald,32 halaman,90 gram,soft cover,Matt paper 80,"14,5x21 cm", Rp. 26.000,"Ingatkanlah anak Anda perihal Kristus. Dan bahwa Kristus mendengar doa-doa orang yang benar-benar mempercayai Dia.
Buku ini menyajikan gambar-gambar sederhana, doa-doa anak-anak, ayat-ayat Alkitab, dan saran-saran untuk digunakan sebagai bahan percakapan antara anak dan orang tua.
Saran-saran itu akan mempererat dan mengakrabkan hubungan antara orang tua dan anak.
Keluarga Anda akan mensyukuri Buku Doa Anak ini, sebab buku ini akan memandu keluarga Anda makin dekat kepada Kristus.
Buku Doa Anak ini cocok untuk dibacakan kepada anak-anak usia 3-5 tahun, atau dibaca sendiri oleh anak-anak usia 6-7 tahun.",http://www.penerbitbinakasih.com/191-buku-buku-doa-anak.html,http://www.penerbitbinakasih.com/images/products/product_191.jpg
Mari Bicara tentang Surga,,978-602-8009-18-8,Debby Anderson,32 halaman,100 gram,soft cover,MP 120,21x28 cm, Rp. 35.000,"Seperti apakah surga itu?Apakah di surga kita tinggal di dalam rumah?Apa yang akan kita makan di sana?Apakah binatang peliharaan kita ada di sana?
Pernah mendengar pertanyaan seperti di atas? Yang dilontarkan anak-anak yang membayangkan keajaiban janji Tuhan akan Rumah yang Kekal bagi orang percaya? Bagaimana kita menjelaskan surga kepada mereka?
Penulis buku ini dengan piawainya memaparkan surga sebagaimana tertulis dalam Alkitab dan memadukannya dengan rasa ingin tahu anak-anak. Dengan demikian kita bersama anak terkasih dapat ”melihat” sekilas akan surga dan mensyukurinya.
Dilengkapi gambar lucu berwarna yang dilukis penulisnya sendiri, anak-anak diajak berimajinasi akan Rumah yang Kekal itu.
Buku yang patut dimiliki setiap keluarga Kristen. 
Meneguhkan iman, memberikan pengharapan dan sukacita.",http://www.penerbitbinakasih.com/193-buku-mari-bicara-tentang-surga.html,http://www.penerbitbinakasih.com/images/products/product_193.jpg
Tuhan adalah Gembalaku (bilingual),Mazmur 23,978-602-8009-75-1,Helen Haidle,32 halaman,280 gram,hard cover,MP 120,"20,5x20 cm", Rp. 52.000,"Tuhan adalah Gembalaku, takkan kekurangan aku.
Ia membaringkan aku di padang yang berumput hijau
Pasti kamu dapat menyanyikan lagu ini kan? Tentunya kamu juga pernah membacanya dalam Alkitab.
Lagu ini ditulis sekitar 3000 tahun lalu oleh seorang gembala muda, yang menceritakan kasih Tuhan dalam hubungan antara gembala dan kawanan dombanya.
Buku ini menolong kamu untuk mampu:

Mempercayai kasih setia dan pemeliharaan Tuhan
Berjalan dengan iman selama kamu hidup
Menantikan rumah kita di surga

Jadi, rasakan tangan lembut Sang Gembala yang baik itu menggenggammu erat penuh kasih.
Pegang janji-janji-Nya yang ada di setiap ayat, agar hidupmu benar-benar melimpah dengan syukur.",http://www.penerbitbinakasih.com/220-buku-tuhan-adalah-gembalaku-%28bilingual%29.html,http://www.penerbitbinakasih.com/images/products/product_220.jpg
Apa Kata Yesus tentang Doa?,,978-602-8009-68-3,Helen Haidle,36 halaman,280 gram,hard cover,MP 125,"20,5x20,5 cm", Rp. 52.000,"Tidak ada ungkapan yang terlalu dini untuk membangun kehidupan doa bagi anak-anak. Melalui buku ini anak usia 4-6 dapat belajar sendiri dari Sang Guru--Tuhan Yesus.
Gambar menarik oleh ilustrator terkenal, Cheri Bladholm, pasti akan memikat pembaca cilik untuk menemukan alasan mengapa mereka berdoa dan apa yang dibutuhkan dalam doa sehingga anak-anak dituntun untuk lebih mengenal Dia.
Buku unik ini ditulis oleh penulis favorit anak-anak, Helen Haidle, dengan bahsa sederhana yang lugas serta dilengkapi ayat-ayat Alkitab yang menjelaskan apa kata Yesus tentang doa.",http://www.penerbitbinakasih.com/221-buku-apa-kata-yesus-tentang-doa%3F-.html,http://www.penerbitbinakasih.com/images/products/product_221.jpg
Keajaiban Terang Cahaya,-,979-9143-09-8,Bonita Searle-Barnes,32 halaman,100 gram,soft cover,MP 120,20x25 cm, Rp. 16.000,"Anda tahu bagaimana menangkap sinar matahari? Membuat pelangi? Menjungkirbalikkan dunia ini?
Buku ini menunjukkan caranya… jelas sekali.
Gambar-gambar menarik menunjukkan keajaiban sinar terang di sekitar Anda.
Proyek-proyek yang sangat mengasyikkan memungkinkan Anda mengetahui apa terang cahaya itu, apa gunanya… dan bagaimana memanfaatkannya.
Di mana sains—ilmu pengetahuan mulai? Dalam dunia alami, kita saksikan keajaiban ciptaan dan kehebatan hukum yang menata semuanya sehingga tertib dan serasi. Buku ini membuka dunia bagi peneliti-peneliti muda di mana pun mereka berada.
Cocok sekali bagi anak Sekolah Dasar.",http://www.penerbitbinakasih.com/194-buku-keajaiban-terang-cahaya-.html,http://www.penerbitbinakasih.com/images/products/product_194.jpg
Misteri Dinosaurus,Uraian segar dan alkitabiah untuk semua umur,979-8976-01-0,Norma A. Whitcomb,108 halaman,150 gram,soft cover,HVS 70,16x24 cm, Rp. 18.000,"Penganut paham evolusi mengatakan, dinosaurus pernah hidup di bumi ini antara 65 sampai 200 juta tahun yang lalu. Menurut mereka, makhluk itu punah pada akhir zaman Mesozonik. Itulah nama zaman yang mereka berikan untuk zaman dinosaurus. Teori evolusi juga mengajarkan, dinosaurus punah jutaan tahun sebelum manusia hidup di bumi ini. Mereka menyusun teori itu tanpa meneliti kebenaran Alkitab. Tapi orang yang saksama mempelajari Alkitab dan fakta-fakta yang ada, menyimpulkan bahwa ajaran teori evolusi itu salah sama sekali.
Misteri dan pertentangan ilmiah yang sangat pelik itu, dengan sederhana diurai dalam buku ini.",http://www.penerbitbinakasih.com/195-buku-misteri-dinosaurus-.html,http://www.penerbitbinakasih.com/images/products/product_195.jpg
Kasihilah Tuhan Allahmu,Buku Guru,979-8976-88-6,Inge Pol-Roos,272 halaman,380 gram,soft cover,HVS 70,16x24 cm, Rp. 44.000,"Kewajiban guru Sekolah Minggu—terutama orang tua—adalah membimbing anak-anak kepada Tuhan Allah.
Anak-anak bukanlah orang dewasa yang kecil. Anak-anak perlu didekati atau dilayani sesuai dengan umurnya. Dengan demikianlah anak-anak dapat belajar dan menimba pengetahuan sebanyak mungkin.
Tapi menyiapkan dan menyajikan cerita Alkitab bagi ana-anak, bukanlah pekerjaan yang ringan. Karena itulah dipersembahkan buku ini. Untuk dijadikan panduan oleh guru Sekolah Minggu, guru agama, dan juga oleh para orang tua.
Semoga Tuhan, Raja Gereja, memberkati usaha ini sehingga generasi muda gereja tergerak dan dimampukan menjadi pelaku Firman.
Buku Guru ini adalah pedoman dari Buku Murid Sekolah Minggu.",http://www.penerbitbinakasih.com/197-buku-kasihilah-tuhan-allahmu.html,http://www.penerbitbinakasih.com/images/products/product_197.jpg
Detektif Alkitab,STOCK KOSONG,978-602-8009-88-1,Peter Martin & Peter Kent,40 halaman,150 gram,soft cover,HVS 100,21 x 26 cm, Rp. 42.000,"Peter Martin bersama Peter Kent juga menyajikan ilustrasi kocak tentang peradaban manusia dalam Alkitab. Mereka berdua bagai menghipnotis anak-anak untuk sibuk mencari informasi rahasia dalam gambar. Tanpa sadar anak-anak jadi lebih tahu tentang isi Alkitab. Aktivitas ini cocok dipakai dalam kelas sekolah minggu.
Ada 17 ilustrasi kehidupan dari zaman Nuh hingga Rasul Paulus

Nuh, Penggembala yang Baik
Perkemahan Abraham Si Pengembara
Budak-budak di Mesir
Musa, Taurat, dan Kemah Suci
Bertani di Tanah Kanaan
Bertempur  Melawan Filistin
Yerusalem Pada Masa Raja Salomo
Serangan Asyur
Pembuangan di Babel
Sensus di Betlehem
Anak Sekolah di Nazareth
Kota Nelayan di Danau Galilea
Pelataran Bait Allah
Kematian Yesus
Petrus Berkhotbah tentang Yesus
Berkhotbah di Korintus
Pelabuhan Kaisarea",http://www.penerbitbinakasih.com/241-buku-detektif-alkitab.html,http://www.penerbitbinakasih.com/images/products/product_241.jpg
Ambillah Hidupku,Berani Menyatakan Kasih dan Kebenaran,979-9143-33-0,J. Reason,64 halaman,50 gram,soft cover,HVS 70,11x18 cm, Rp. 15.000,"Ruaatoka sengaja meninggalkan kampung halamannya. Pergi jauh, ke pulau terpencil di Lautan Pasifik, yang penduduknya sangat primitif.
Ia menghadapi perlawanan yang sangat berat. Animisme. Sihir. Pembunuhan. Malaria yang mematikan, dan orang kulit putih yang mengeruk kekayaan pulau terpencil itu.
Ruatoka berjuang keras menghadapi semuanya, kendati jiwanya sendiri terancam.
Tapi kenapa dan untuk apa?
Kisah nyata ini menantang kita, untuk berani menyatakan kasih dan kebenaran. Kini dan di sini!",http://www.penerbitbinakasih.com/199-buku-ambillah-hidupku-.html,http://www.penerbitbinakasih.com/images/products/product_199.jpg
Apolo Rasul Uganda,-,979-8976-23-1,Pat Yates,68 halaman,50 gram,soft cover,HVS 70,11x18 cm, Rp. 15.000,"Di semak belukar kaki Apolo tersandung pada tubuh seorang wanita yang tergeletak di situ karena dibuang oleh suaminya yang menyiksanya secara keji.
Apolo sangat terkejut. Ia membawa wanita itu, merawat dan menghiburnya. Wanita itu terhibur, sembuh, dan menjadi Kristen. Akibatnya timbul permusuhan, terutama dari Tabalo—sang pemimpin—dan dari Kepala Dukun.
Tabalo segera mengumpulkan para prajuritnya. Ia mengerahkan mereka membunuh Apolo. Prajurit-prajurit itu berangkat… dan mereka menjumpai Apolo sedang berdoa memohon lindungan Tuhannya.
Apa yang terjadi kemudian?",http://www.penerbitbinakasih.com/200-buku-apolo-rasul-uganda-.html,http://www.penerbitbinakasih.com/images/products/product_200.jpg
Ilmuwan Untuk Rakyat,-,979-8976-08-8,R.O. Latham,80 halaman,60 gram,soft cover,HVS 70,11x18 cm, Rp. 15.000,"”Saya mohon Tuhan memberi saya pengetahuan yang luas tentang kacang tanah….”
Profesor George meneliti kacang tanah di laboratorium. Dari penelitiannya itu ia menghasilkan lebih dari 300 jenis produk! Ia sungguh berjasa bagi umat manusia, dan telah memajukan kaumnya.
Padahal masa kecilnya ia dihina dan diperlakukan tidak adil. Tapi semangat juangnya, ketekunannya belajar dan ingin tahunya membuat ia berhasil menjadi ilmuwan.
Buku ini mendorong generasi muda tegar menghadapi kendala. Memacunya berkreasi dan mengabdikan ilmunya bagi kesejahteraan bangsanya.",http://www.penerbitbinakasih.com/201-buku-ilmuwan-untuk-rakyat-.html,http://www.penerbitbinakasih.com/images/products/product_201.jpg
Tekad Gadis Kecil,STOCK KOSONG,978-602-8009-55-3,H. A. Oppusunggu,80 halaman,60 gram,soft cover,HVS 70,11 x 16 cm, Rp. 0,"Tahukah kamu Kitab Suci apa yang
diterjemahkan ke dalam ratusan bahasa?
 
Ya, Alkitab! Dan hebatnya lagi, penerjemahan Alkitab ke dalam berbagai bahasa di seluruh dunia terinspirasi dari tekad anak seusiamu—seorang gadis desa. Mary Jones namanya.
Kisah ini pasti akan mendorong semangatmu untuk tetap berharap dan berusaha menggapai apa yang kamu inginkan. Perjuangan, kesabaran, keuletan, dan kesetiaannya—suatu hal yang dapat kita contoh dalam bercita-cita. Semboyan ”ora et labora” (berdoa dan bekerja) terukir dalam buku ini.
 
Buku ini cocok untuk referensi Sekolah Minggu maupun Pendidikan Agama Kristen di Sekolah Dasar,
serta baik juga bagi orang tua yang ingin menanamkan pentingnya membaca Alkitab bagi anak-anak.",http://www.penerbitbinakasih.com/249-buku-tekad-gadis-kecil.html,http://www.penerbitbinakasih.com/images/products/product_249.jpg
